timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB]
2025/03/16 22:21:09.957, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:11.149, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:12.197, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:13.239, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:14.454, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:15.500, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:16.689, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:17.733, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:18.777, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:19.988, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:21.030, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:22.231, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:23.276, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:24.323, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:25.513, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:26.561, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:27.762, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:28.808, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:29.851, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:31.041, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:32.084, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:33.308, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:34.352, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:35.396, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:36.580, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:37.626, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:38.812, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:39.857, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:40.902, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:42.092, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:43.137, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:44.325, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:45.369, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:46.416, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:47.603, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:48.647, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:49.834, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:50.877, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:51.921, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:53.114, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:54.159, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:55.348, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:56.391, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:57.488, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:58.635, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:21:59.677, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:00.863, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:01.932, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:03.177, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:04.546, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:05.590, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:06.636, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:07.825, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:08.866, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:10.061, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:11.107, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:12.148, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:13.350, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:14.395, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:15.586, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:16.632, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:17.678, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:18.871, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:19.912, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:21.112, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:22.156, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:23.200, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:24.398, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:25.442, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:26.647, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:27.699, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:28.794, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:30.054, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:31.103, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:32.192, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:33.236, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:34.334, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:35.593, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:36.634, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:37.827, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:38.869, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:39.917, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:41.125, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:42.170, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:43.363, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:44.411, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:45.460, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:46.653, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:47.697, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:48.885, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:49.931, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:50.978, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:52.174, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:53.218, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:54.406, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:55.451, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:56.498, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:57.707, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:58.757, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:22:59.926, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:00.969, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:02.038, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:03.338, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:04.385, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:05.487, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:06.532, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:07.583, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:08.774, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:09.817, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:11.008, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:12.051, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:13.094, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:14.293, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:15.336, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:16.527, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:17.576, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:18.620, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:19.810, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:20.857, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:22.032, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:23.077, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:24.244, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:25.310, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:26.356, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:27.513, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:28.557, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:29.601, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:30.803, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:31.844, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:33.029, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:34.077, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:35.120, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:36.300, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:37.341, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:38.529, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:39.577, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:40.618, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:41.796, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:42.841, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:44.026, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:45.071, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:46.114, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:47.289, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:48.333, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:49.513, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:50.561, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:51.605, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:52.783, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:53.825, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:55.011, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:56.055, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:57.204, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:58.291, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:23:59.343, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:00.511, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:01.554, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:02.636, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:03.785, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:04.827, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:06.011, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:07.057, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:08.100, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:09.292, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:10.336, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:11.518, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:12.564, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:13.616, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
