timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB], gpu_2_utilization.gpu [% or MiB], gpu_2_utilization.memory [% or MiB], gpu_2_memory.total [% or MiB], gpu_2_memory.free [% or MiB], gpu_2_memory.used [% or MiB], gpu_3_utilization.gpu [% or MiB], gpu_3_utilization.memory [% or MiB], gpu_3_memory.total [% or MiB], gpu_3_memory.free [% or MiB], gpu_3_memory.used [% or MiB]
2025/03/16 13:57:35.809, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:36.881, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:37.958, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:39.021, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:40.106, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:41.187, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:42.303, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:43.377, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:44.446, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:45.519, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:46.593, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:47.663, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:48.732, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:49.813, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:50.891, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:51.964, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:53.036, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:54.109, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:55.179, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:56.246, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:57.325, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:58.403, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:57:59.481, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:00.557, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:01.628, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:02.697, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:03.774, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:04.845, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:05.916, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:06.996, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:08.076, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:09.145, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:10.216, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:11.291, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 13:58:12.367, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
